Date,From,Subject,Category,Action,SizeMB,Unsubscribe
2025-07-19T11:56:20-07:00,"""Facebook"" <notification@priority.facebookmail.com>",You have 52 notifications about Sutharsan and others,newsletter,archive,0.03,<https://www.facebook.com/o.php?k=AS2yqU3JFhmPYlWWyug&u=100043343738567&mid=63a4c82148567G5afd27f736c7G63a4ccbaa8839G32b&ee=Af9x4zCf00-wwaDEGazQKalj4cxwQa_JZtazlpzRHC36eFkf0AtHef8U129LoiG49IZAzk89hqkjH1dROLvpuj6519OR>
2025-07-20T11:22:01+00:00,"""LinkedIn"" <notifications-noreply@linkedin.com>",You appeared in 3 searches,newsletter,archive,0.03,<https://www.linkedin.com/comm/psettings/email-unsubscribe?lipi=urn%3Ali%3Apage%3Aemail_email_notification_single_search_appearance_01%3Bb%2F3QfuqWTZS38njZzmjLAQ%3D%3D&midToken=AQE_aVK4eowFUQ&midSig=2GUhWKoEJaQbQ1&trk=eml-email_notification_single_search_appearance_01-unsub-0-unsub&trkEmail=eml-email_notification_single_search_appearance_01-unsub-0-unsub-null-corjmi~mdbl78mo~ri-null-null&eid=corjmi-mdbl78mo-ri&loid=AQHY1uJ5Ot3dEQAAAZgnkcOuJU9OhPt1ejM4fvfigCduo4ReE29C4Lo3C_13GDrI8FWEv-e3QyNBYyeqHvBgPrCqiqdyyei1ESixmFzWfO4h36vCRpbDjg>
2025-07-21T16:19:45+05:30,"""redBus"" <greetings@travel.e-redbus.in>","Pooraja V, you feel like taking a solo trip?",newsletter,archive,0.02,"<https://unsub-cee.netcorecloud.net/vtrack?ul=VwpVB1wFBlVPBkVGRF8DUhYSDEJCBABLWF4GVHlUDFlZWBhQWVxJSUwF&ml=UA1QAlIHA1NPB0VK&sl=JkUpczBLZjFPZHRiSlUJXgsKTURGABNcVUhVSUtWBVpFRxhaWE0F&clientid=69014&c=000>, <mailto:uns-traveleredbus-69014-44627001-33379257-i-0d1349adf18e6ef3e5f7622ad5e76335@travel.e-redbus.in?subject=Unsubscribe>"
2025-07-21T14:43:59+00:00,"""Daniel Miessler"" <unsupervised-learning@mail.beehiiv.com>",Unsupervised Learning NO. 490,newsletter,archive,0.18,"<mailto:6af6184f-358e-47dc-8501-ddfd3b0a8928+c9d50fb8-cf39-4df4-887c-651cc604084a+58277d90-c65c-4236-8996-e876cabe2e4f@unsub.beehiiv.com>, <https://newsletter.danielmiessler.com/unsubscribe/eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWJzY3JpYmVyX2lkIjoiYzlkNTBmYjgtY2YzOS00ZGY0LTg4N2MtNjUxY2M2MDQwODRhIiwicG9zdF9pZCI6IjU4Mjc3ZDkwLWM2NWMtNDIzNi04OTk2LWU4NzZjYWJlMmU0ZiIsImxhc3RfcmVzb3VyY2VfZ3VpZCI6IlBvc3Q6NTgyNzdkOTAtYzY1Yy00MjM2LTg5OTYtZTg3NmNhYmUyZTRmIn0.tdRIezvoKz_RCj1nNm2a6LeyrC3SQyEzWfUYfIfCbDU>"
2025-07-21T11:33:11-07:00,"""Facebook Friend Suggestions"" <friendsuggestion@facebookmail.com>",👤 Keerthana is a new friend suggestion for you,newsletter,archive,0.02,<https://www.facebook.com/email/oneclick/unsubscribe?identifier=AeLv8gN2YSERqIkEE90TqrbcaKIQChHYIFXmNLBwdWvRRRs8LAjWp4O7QiB8kd2GbZ9ZGit1Iog-95pQICHfjWuytLLa80_OgAMiyxekWU1BoWtjZ_8lzPsXn0VEjlokc28Cm0Fad0eSxr1CkCzNYABP0t3892aHxEAWEc_L0wiz-Yo_UgI92zxyg_WOlaa63ENOZZRO11sQOFBbMwkZsMr-Ox31tLjpaeUNoFXU9O6RONRXQ32tML9mxxFqKRgtRAYtBL8yQ2IMmlWa49c7cxkae7cYGNBFCeH54oQrvstFQWJ8OuHSEaqO_ZlgJ7gAYtyJCy1Az1pZJr8UQTbX0Dg>
2025-07-21T20:35:28-07:00,"""The Linux Foundation"" <no-reply@linuxfoundation.org>",🚨 Standard Pricing Ends Today–Don’t Miss OS Summit India!,newsletter,archive,0.09,"<mailto:1axdog6w4vzyxm6hjsfk8nmlway6vqvbedv7lm@8112310m.linuxfoundation.org?subject=unsubscribe>, <https://hs-8112310.s.hubspotemail.net/subscription-preferences/v2/unsubscribe-all?data=W2nXS-N30h-M2W3bytK_3z1fWpW41z7Kq1VsZg6W1SpQhm30K4xhW3QQq-h212653W3VMXGh365mrWW1BhlpC45C_PjW4mqWlG38l6HKW4kDVbQ3jnBQDW4r973G3ZDTldW45TjPc20YFk8W3QBMr-2xKH55W3BLd9v2CLZ48W4rgZL84mv9qfW2zM2sr4fwfRtW3yZ-FX2Yf1rlW3bwr5v3QQVbmW1XwjbD2FJbs7W2WPRzw2p4c3gW1YWYHp2TQwy2W2D0vLl3gqYr6W2KQPMY3NLTlXW1SgJnd47L4sZW3VJd5J3_ZxslW45z9Wf2HWbr5W2HH4t334Hpc7W1QcbRg3P6kXNW3yR3Vh1BpFHtW383vn02Pvnl9W43Dd-52Pw_N6W1VgCFT3drZhnW3R5c8q2-lHppW2WN-cn1YZSMbW3dyl2M3jshrVW43Rwlw45P9y8W41WW7x3F4DTrW2308nv3NF2TdW2YwFf61T_BxYW4fQXZj3_HzvWW3drxv22KC92DW2WrF1b2TwBgSW1_v34j4ttFk5W1Qzjnf3_LVfwW4mDgZ_2FBNRCW1Sgp3r4m9xwrW3NTZG243JNn5W24X2VH36v_2NW34kFmB2TLMjgW4mGm9f2RwTmXW3dnz4t2RkPdRW2nW9R64cGQbgW3JRQJM3QWsdyf3bv8x504>"
2025-07-21T22:47:16-07:00,"""Fahim at Educative"" <fahim.u@educative.io>",Want to get hired in 2025? Do this.,newsletter,archive,0.08,"<mailto:1axc4ilii43uw3e6v9lcfulnvm1db0jbhxafsq@4740448m.educative.io?subject=unsubscribe>, <https://learn.educative.io/hs/subscription-preferences/v2/unsubscribe-all?data=W2nXS-N30h-FZW4tFh_J3W1T5GW2Ft88M3jmMZjW32cf-m49DvVnW253nW14crGKXW45Wt6f1S9kTsW2q_rxZ2t04v5W45qzMW1ZnT48W3_GfMs2p8kTSW2FBLt22sKJ0GW3GXhjy2vZkGQW49BmJx1XmNWmW2Rlj-f4rz06ZW1V01HR2D1k3GW1-ZFTm3VYTHCW3bBbJn45n-6dW2F_qgb1Lrj5GW2KCztS2r7lX0W1SjTYX2RBCMvW21nT3s3gwQZBW2-Dhz22MnhXhW1QyZ3d36cGxXW2WFWcS3XT-7QW2TPGmk4cktw_W4kx0rD2TBPL7W1_l5lX4ph5VBW20Yfww45r5z7W23b9f92qLbBfW30JfYm1SrWhXW2-qTFg47v9v9W2KSVYk3yX0kGW3bq2dc2YFlsCW36lgC14k8vxdW4fJDTp3yYLhQW4pbdJp3Fb3lzW2KSz5W2TjMXvW4pmMyn3LHp5BW3W0Jwl34lWGFW3W0G7-2PG9yHW30kcLP1Z4Zc7W3F4DCX1_4KLDW3JJmDj30zCfCW45LK5v2HZYx_W2y02g247Mn99W4kppdq2CZ6M3W2qS6pw3Fd75sW3gwwyp25nRRfW21h00P3dkKJTW3X-QtR3R6y7NW47V1Hs45NS0gW3Vwzlt41TlXKf3LTPC_04>"
2025-07-22T14:38:34+00:00,"""Microsoft"" <microsoft-noreply@microsoft.com>","Action required: Make a purchase by September 20, 2025 to continue using your tenant",other,keep,0.03,
2025-07-22T17:46:49-07:00,"""Kaggle"" <noreply@kaggle.com>",Kaggle Benchmarks: Introducing Community-Driven Evaluation,newsletter,archive,0.03,<https://c.gle/ANiao5ovpo-1Xb9Q8AWjAZ5Mdn0hu1wZh-azjTbEt3KXrFXoKfwIooIXUkoDIAFxNs_GOVleaB06G9FCa9ii31x2y7i90nO6kXAXoZxL70DNWpiddK0nxzf_TUHS6NtajKffEBEzHPQEgY-hMGfnPnTrxKgItQh3vvonoNfzInKksZPru7NJIyS9z6L77IoMwA8tHmp4Di5HpJQPt_DKB8e7j5w84PMpJPPfeQ>
2025-07-23T13:18:23+00:00,"""Team Jio"" <JioTV@mailer.jio.com>","Jab Aami Jagti Hai, Andhera Thartharata Hai!",newsletter,archive,0.02,"<https://u19648731.ct.sendgrid.net/lu/unsubscribe?oc=u001.SW9JxMZ1MgxSbuAEdAnYnYe1_mdLYMwVwlUjYdfTYioJZFIErF1djJ-HEOVDdVP-06ICHkQeEq7wmVzgdF0RfY4CJRQm5V1XnbD6o7gqbQzK4r2wRUR7FGzpYpjfEdAZisULq4JfEi19BelxLJaBzXknYMs33TVUVmA4avMLKj5SZyshlSXCe26ztrp7sDSXxqLmgD2sJcRuU4aJxK8xKnEQvcHS3XpQ-QvLLqd3iU4KG9gsOrQp94ghyLavIZUjkM26d0u_hok-i9FaaV3YSYKR0op_Or4iyvg02_B5Fljnvf6osHIjH91prb1wA8n7HNI1C50cBz63bKpR6m6GJ0H3d6O3P3u7Ti8VR3YYElG_Iwh3ZGTvXVfw6QDH9b-y67kft2xyvzQkF6JX8UrM6Tmz_8V462Eee6FMBulN50AX_MLS5PscCBS4_RdhyhIXDD_jQ_w29pwK7xro1ipMvOSYYcZ2Wamv2kH7Lgq-JOfWiWsaq67UrmB-6veYAVyu1PVv2nDVnq7vt54e4kevH_N67t3n-uHiZyy_l-UF8J51t4zhHidDJb8njn-eDgmYdF0e49xj5xaU2wFknkYjMudjSb96TW5lUM54ZNsGBBSXe9nQzqIQi8uuSmrCFJvYR7G0IyPQBYSpkzAVJ9gcehpVJvBA3tOj7qeET5rRjJlb2EPpYr33QFvecE4_sj6B_Qkv8sTQepckpdFyMd7dfQ1NAclTLFtbr1QnlJObIY2DMoqYVdoxdmWg9JgomxS3HM14xV-jgWaCnxy_1uPn9-aTsUBsrVPvPGhM0imI7kaw-mZ1-PDAkPGMwycJRNP9WhP6SFo-89OA43caG1GWTg>,<mailto:unsubscribe@em6439.mailer.jio.com?subject=http://link.mailer.jio.com/mt/u/u001.0xph-2QOjhrxX1IwKx5shTaYOYWNNYi6eqY17zTxEGKfwSIQUtWR29MJsqaaGfWT/4if/u001.N0gBYbEl/u001.Itqu0GLKx96iqffUrgU98v-2Ft8XBB-2F-2Bpy7PGqSq-2FStYy76g4Tt-2FYN6mnfxA3py-2F8z3BIpHjvXciNhdYxV-2FqVCKCGBPWsO1AsTXDNOTEVPBa-2BAZss9cS2QlvbyczYd-2FfmBhj-2BMtuxxJY43yduwFLmaodCXpg86dQCogwz-2BP6FwRsc2H1lhxoonb1Qq6x5GBFj7Z516-2Bwk2F8hAwTRZu3ng2qrBvH9Y-2FETqS5ex4HPy-2B7YVCjAOMGqeh5RII3LxwQ-2BHJB04QHr6gVzT-2FJp-2B-2FCMe0lXXQ7sIRcYmIPEq9XxSf8gzwPZLHH4qWmkv1y-2FSA7NZW-2Bn6Mswc3z6Zkib8aXQkwb5PGWD1pki-2F7qS9G2us9JoPDfhtAyPuRckwxta2eO5WzU-2FAr5aiupjd-2BjiAMgL-2B71DeaxPbJvp3PmAqXc76QFZX1MtybUUOYlztWpu-2FDDTtmxl0brANjw9g3rEYy7KCFAvcQRHDDiaj3YsyWm9UkWGAzGYlLNC8C9JJTF6NBhQWi-2F3Hbqk-2Bd4xykM-2Fzbp-2Bteg-3D-3D/u001.fLwKCDvc>"
